Adult_mortality,Under_five_deaths,Alcohol_consumption,GDP_per_capita,Population_mln,Region_Central America and Caribbean,Economy_status_Developed,Region_South America,BMI,Year,Incidents_HIV,Region_European Union,Region_Oceania,Hepatitis_B,Region_Middle East,Region_Asia,Schooling,Life_expectancy
96.76,8.8,7.67,11200.0,16.89,0,0,1,27.3,2009,0.17,0,0,94,0,0,9.9,78.6
69.147,4.8,9.53,29268.875,56.0725,0,1,0,27.0,2012,0.08,0,0,88,0,0,12.9,80.9
411.0745,123.3,0.9,377.0,4.49,0,0,0,22.8,2015,1.03,0,0,51,0,0,4.2,50.9
148.5315,32.7,3.93,3422.0,27.1,0,0,1,25.2,2002,0.2,0,0,84,0,0,8.3,71.9
191.5375,53.4,0.2,643.0,26.38,0,0,0,21.4,2007,0.17,0,0,82,0,1,3.0,66.3
79.8805,5.7,9.48,29268.875,16.23,0,1,0,25.2,2003,0.06,1,0,88,0,0,11.3,78.5
104.5205,3.7,13.65,17047.0,10.38,0,1,0,26.7,2008,0.08,1,0,99,0,0,12.2,77.0
58.8975,4.1,8.38,29268.875,16.87,0,1,0,25.5,2014,0.04,1,0,92,0,0,12.1,81.7
52.8665,4.4,9.74,29268.875,8.09,0,1,0,25.1,2013,0.05,0,0,88,0,0,13.4,82.8
264.2335,114.5,0.13,437.0,17.11,0,0,0,21.6,2011,0.08,0,0,75,0,0,1.5,58.1
139.2615,8.7,10.3,6797.0,7.22,0,1,0,26.3,2014,0.03,1,0,95,0,0,10.9,74.5
159.928,19.2,7.04,6738.0,0.11,1,0,0,26.7,2011,0.4,0,0,96,0,0,8.4,71.8
70.123,4.1,7.86,29268.875,56.0725,0,1,0,22.5,2002,0.17,0,0,83,0,1,10.9,81.6
261.384,116.2,1.23,981.0,8.45,0,0,0,22.8,2007,0.73,0,0,82,0,0,2.8,58.3
54.9785,6.6,6.89,20566.0,0.42,0,1,0,27.1,2011,0.08,1,0,82,0,0,10.5,80.7
173.3405,77.2,0.8,468.0,6.32,0,0,0,24.2,2001,0.01,0,0,59,0,1,10.6,62.8
122.669,13.9,7.69,14200.0,41.26,0,0,1,27.2,2011,0.14,0,0,91,0,0,9.8,75.4
184.039,33.8,0.08,2720.0,56.0725,0,0,0,22.5,2010,0.21,0,0,83,0,1,7.4,69.2
456.61306250000007,74.3,7.47,5116.0,46.15,0,0,0,26.3,2002,1.03,0,0,72,0,0,8.5,54.3
106.849,5.5,9.37,5996.0,0.62,0,0,0,26.2,2012,0.03,0,0,90,0,0,11.2,76.2
228.7,112.1,0.012,1252.0,2.7,0,0,0,23.8,2001,0.47,0,0,61,0,0,3.0,60.8
131.69,26.8,0.47,3588.0,5.12,0,0,0,27.8,2000,0.13,0,0,93,1,0,9.5,71.7
